Election,County,Subpart,JurisdictionID,JurisContainerID,JurisName,EISCandidateID,CandidateName,EISContestID,ContestName,PrecinctName,Registration,EISPartyID,PartyName,VoteCount
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 06,696,0,,250
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 07,591,0,,308
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 08,675,0,,354
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 09,736,0,,368
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 10,756,0,,217
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 11,681,0,,377
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 12,693,0,,203
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 13,749,0,,225
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 14,578,0,,294
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 15,655,0,,269
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 16,801,0,,246
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 17,777,0,,252
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 18,597,0,,301
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 19,650,0,,356
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 20,691,0,,375
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 21,644,0,,309
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 22,684,0,,409
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 23,1137,0,,529
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 24,729,0,,341
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 25,722,0,,307
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 26,793,0,,305
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 27,955,0,,290
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 28,790,0,,350
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 29,803,0,,311
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 30,707,0,,200
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 31,678,0,,227
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 32,727,0,,375
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 33,765,0,,336
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 34,734,0,,354
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 35,697,0,,361
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 36,621,0,,167
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 37,701,0,,380
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 38,776,0,,276
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 39,571,0,,292
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 40,614,0,,229
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 05 Precinct 41,332,0,,225
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 01,665,0,,299
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 02,659,0,,260
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 03,649,0,,304
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 04,611,0,,170
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 05,656,0,,135
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 06,648,0,,271
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 07,702,0,,238
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 08,643,0,,244
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 09,768,0,,188
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 10,610,0,,138
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 11,694,0,,198
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 12,747,0,,149
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 13,557,0,,186
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 06 Precinct 14,707,0,,242
